packetRate,energy,distance,packetRateDelta,energyDelta,distanceDelta,flooderProb,fakerProb,captureProb,riskScore
192.7551087,4.46714645,2534.449123,0,0,1167.945822,0.01,0.01,0.058823529,0.068526674
275.9305012,1.408779126,1553.641373,68.26898299,0,187.9726314,0.4,0.01,0.01,0.298651368
468.8212092,26.71438628,2514.798151,264.1586196,6.904556276,1209.262661,0.99,0.263157895,0.105263158,0.772999529
252.6618022,43.49192418,1978.971557,47.22331725,23.52717561,652.94912,0.25,0.99,0.05,0.728409985
216.4586143,30.18370412,2215.580032,9.148245677,10.25380927,876.0747235,0.03125,0.641509434,0.055555556,0.462369118
376.6659299,39.17665978,2550.863497,170.010479,19.2423188,1191.791932,0.952380952,0.931034483,0.111111111,0.898107252
237.3770645,11.74885037,2452.895511,30.28114491,0,1096.5092,0.066666667,0.01,0.055555556,0.103247875
254.7943001,8.335022074,1731.945295,47.78755859,0,400.5038569,0.25,0.01,0.01,0.192677711
345.0062263,46.86270583,1835.884774,141.7540798,26.81509435,496.6258175,0.935483871,0.99,0.052631579,0.902216643
439.2167103,49.88721645,1810.919632,232.6580588,30.01820886,474.9676041,0.99,0.99,0.05,0.915826237
444.4780738,19.24906487,1342.116491,238.4770646,0,0,0.99,0.01,0.01,0.715481089
285.7164208,22.9353392,1699.992596,79.89976918,3.019369468,369.5287358,0.5,0.101449275,0.01,0.408392686
431.7340495,5.77922242,453.0755163,225.7417689,0,0,0.99,0.01,0.01,0.715481089
357.087782,33.99160526,1970.089049,153.0143933,14.19711374,620.7891981,0.965517241,0.82,0.047619048,0.873377328
235.0400574,11.71182975,2727.074979,27.72968871,0,1387.569671,0.035714286,0.99,0.058823529,0.66852269
312.9170261,23.04050725,100,107.1289097,0,1505.310952,0.65,0.01,0.368421053,0.606544584
437.0684045,2.512476809,3126.890051,231.9161471,0,1799.602231,0.99,0.01,0.4375,0.744013414
272.0588977,15.43661645,2315.635657,63.80675117,0,976.3766995,0.3,0.01,0.055555556,0.273779073
438.9218196,15.80903865,2906.97129,132.7470137,0,1579.526952,0.838709677,0.01,0.352941176,0.677188568
481.5618255,12.32854432,1462.335371,275.3870197,0,134.8910332,0.99,0.01,0.01,0.715481089
481.5074955,35.4859326,2870.907414,273.8459773,15.58707654,1505.238673,0.99,0.833333333,0.368421053,0.907275577
423.1063964,42.71196871,976.5896289,219.6211776,22.93376962,0,0.99,0.99,0.01,0.912887647
235.8719423,23.18411492,1855.68773,0,3.501518864,528.2433914,0.01,0.101449275,0.047619048,0.114961442
438.7873513,38.41418072,956.6513978,271.1258331,18.51532465,0,0.99,0.825,0.01,0.879650829
